idx,name,created,processing_time,due_date,feature
0,Job 0,0.0,19.74,95.34,1
1,Job 1,0.0,23.16,44.47,1
2,Job 2,0.0,19.16,36.6,3
3,Job 3,0.0,19.76,85.36,0
4,Job 4,0.0,22.6,108.71,2
5,Job 5,0.0,22.76,57.36,4
6,Job 6,0.0,19.63,68.31,3
7,Job 7,0.0,19.38,23.06,1
8,Job 8,0.0,20.81,67.63,5
9,Job 9,0.0,19.7,40.58,5
10,Job 10,0.0,19.84,33.13,2
11,Job 11,0.0,21.14,35.73,4
12,Job 12,0.0,18.53,49.1,3
13,Job 13,0.0,15.21,60.23,5
14,Job 14,0.0,18.16,64.29,0
15,Job 15,0.0,16.08,71.56,3
16,Job 16,0.0,18.0,83.52,4
17,Job 17,0.0,19.04,41.13,0
18,Job 18,0.0,18.44,23.97,1
19,Job 19,0.0,21.68,25.15,2
20,Job 20,0.0,21.48,48.54,2
21,Job 21,0.0,17.96,75.07,3
22,Job 22,0.0,21.94,98.95,0
23,Job 23,0.0,20.84,63.98,2
24,Job 24,0.0,21.5,91.8,0
25,Job 25,0.0,19.69,69.9,3
26,Job 26,0.0,16.93,52.48,3
27,Job 27,0.0,21.09,66.64,1
28,Job 28,0.0,19.96,42.12,0
29,Job 29,0.0,16.09,57.12,2
30,Job 30,0.0,23.24,58.33,0
31,Job 31,0.0,21.66,53.93,4
32,Job 32,0.0,21.41,47.96,4
33,Job 33,0.0,22.19,91.87,1
34,Job 34,0.0,19.24,62.34,1
35,Job 35,0.0,19.07,51.68,3
36,Job 36,0.0,18.47,51.9,1
37,Job 37,0.0,22.61,103.78,3
38,Job 38,0.0,19.42,64.86,2
39,Job 39,0.0,18.39,34.02,1
40,Job 40,0.0,17.07,57.7,4
41,Job 41,0.0,22.38,81.02,0
42,Job 42,0.0,20.9,100.11,3
43,Job 43,0.0,18.66,33.77,1
44,Job 44,0.0,24.78,73.6,3
45,Job 45,0.0,20.96,97.67,5
46,Job 46,0.0,25.3,92.6,5
47,Job 47,0.0,18.68,62.2,4
48,Job 48,0.0,17.86,65.37,4
49,Job 49,0.0,19.44,87.29,1
50,Job 50,0.0,17.41,45.79,2
51,Job 51,0.0,17.29,39.59,3
52,Job 52,0.0,21.44,101.63,1
53,Job 53,0.0,19.89,70.41,4
54,Job 54,0.0,19.61,51.97,0
55,Job 55,0.0,22.16,35.9,2
56,Job 56,0.0,19.06,78.34,4
57,Job 57,0.0,22.45,45.57,2
58,Job 58,0.0,15.98,78.3,5
59,Job 59,0.0,21.69,73.31,1
60,Job 60,0.0,19.76,43.67,3
61,Job 61,0.0,19.07,80.48,2
62,Job 62,0.0,18.3,81.25,4
63,Job 63,0.0,19.19,26.1,0
64,Job 64,0.0,19.59,76.6,4
65,Job 65,0.0,17.28,62.9,0
66,Job 66,0.0,20.8,48.67,0
67,Job 67,0.0,21.89,41.59,3
68,Job 68,0.0,19.96,38.12,1
69,Job 69,0.0,20.6,85.49,3
70,Job 70,0.0,22.37,31.54,5
71,Job 71,0.0,20.08,20.48,3
72,Job 72,0.0,19.21,31.5,2
73,Job 73,0.0,25.29,90.03,1
74,Job 74,0.0,19.8,41.18,4
75,Job 75,0.0,19.14,75.41,4
76,Job 76,0.0,22.6,77.97,2
77,Job 77,0.0,21.56,62.52,4
78,Job 78,0.0,18.52,56.49,1
79,Job 79,0.0,18.56,89.64,0
80,Job 80,0.0,19.53,67.77,0
81,Job 81,0.0,20.49,72.74,0
82,Job 82,0.0,21.59,87.66,0
83,Job 83,0.0,19.78,60.53,4
84,Job 84,0.0,22.41,68.8,1
85,Job 85,0.0,15.64,76.64,2
86,Job 86,0.0,21.19,39.63,2
87,Job 87,0.0,18.9,50.46,4
88,Job 88,0.0,22.55,90.88,4
89,Job 89,0.0,22.8,36.25,5
90,Job 90,0.0,19.3,29.72,0
91,Job 91,0.0,20.84,36.26,5
92,Job 92,0.0,21.69,84.37,3
93,Job 93,0.0,20.58,48.36,4
94,Job 94,0.0,19.07,68.08,3
95,Job 95,0.0,19.07,41.76,4
96,Job 96,0.0,22.16,98.17,2
97,Job 97,0.0,21.18,84.08,4
98,Job 98,0.0,22.56,89.11,1
99,Job 99,0.0,20.32,74.37,2
