idx,name,created,processing_time,due_date,feature
0,Job 0,0.0,19.91,98.16,4
1,Job 1,0.0,17.3,55.53,3
2,Job 2,0.0,22.03,54.19,3
3,Job 3,0.0,22.49,35.76,4
4,Job 4,0.0,21.62,27.46,0
5,Job 5,0.0,22.79,91.16,0
6,Job 6,0.0,21.03,84.12,1
7,Job 7,0.0,20.94,40.83,5
8,Job 8,0.0,20.98,60.63,1
9,Job 9,0.0,18.53,91.72,3
10,Job 10,0.0,17.19,85.43,3
11,Job 11,0.0,18.16,43.04,4
12,Job 12,0.0,17.57,37.25,5
13,Job 13,0.0,21.03,50.05,1
14,Job 14,0.0,18.88,86.85,1
15,Job 15,0.0,20.59,91.21,2
16,Job 16,0.0,19.62,84.56,0
17,Job 17,0.0,17.96,56.21,4
18,Job 18,0.0,19.95,50.47,4
19,Job 19,0.0,20.83,101.86,4
20,Job 20,0.0,22.25,76.1,5
21,Job 21,0.0,17.82,30.12,2
22,Job 22,0.0,21.75,83.96,3
23,Job 23,0.0,19.52,64.03,4
24,Job 24,0.0,21.84,69.45,4
25,Job 25,0.0,25.27,46.5,3
26,Job 26,0.0,19.82,46.78,0
27,Job 27,0.0,20.83,81.65,4
28,Job 28,0.0,22.78,37.36,3
29,Job 29,0.0,19.61,29.81,5
30,Job 30,0.0,17.14,62.39,4
31,Job 31,0.0,17.35,78.77,1
32,Job 32,0.0,17.83,41.01,1
33,Job 33,0.0,20.35,77.13,4
34,Job 34,0.0,20.92,30.96,3
35,Job 35,0.0,18.97,39.27,0
36,Job 36,0.0,22.92,34.15,2
37,Job 37,0.0,23.14,94.64,5
38,Job 38,0.0,20.07,57.2,3
39,Job 39,0.0,19.85,35.53,3
40,Job 40,0.0,19.25,58.14,3
41,Job 41,0.0,20.08,97.79,3
42,Job 42,0.0,17.63,61.7,5
43,Job 43,0.0,23.19,35.94,2
44,Job 44,0.0,20.47,87.41,1
45,Job 45,0.0,19.87,97.96,0
46,Job 46,0.0,19.41,56.29,2
47,Job 47,0.0,19.34,29.59,1
48,Job 48,0.0,21.89,96.75,0
49,Job 49,0.0,18.17,24.71,1
50,Job 50,0.0,19.54,52.17,0
51,Job 51,0.0,15.49,48.17,2
52,Job 52,0.0,19.33,60.31,1
53,Job 53,0.0,21.61,51.65,1
54,Job 54,0.0,18.36,78.21,4
55,Job 55,0.0,22.3,57.53,0
56,Job 56,0.0,16.85,66.56,4
57,Job 57,0.0,19.16,63.99,2
58,Job 58,0.0,16.6,55.11,1
59,Job 59,0.0,18.62,79.14,0
60,Job 60,0.0,20.65,22.92,2
61,Job 61,0.0,20.47,70.42,4
62,Job 62,0.0,19.89,45.35,1
63,Job 63,0.0,19.65,79.78,2
64,Job 64,0.0,21.04,62.28,4
65,Job 65,0.0,21.91,100.57,4
66,Job 66,0.0,19.35,35.6,3
67,Job 67,0.0,20.27,30.2,1
68,Job 68,0.0,21.37,58.77,3
69,Job 69,0.0,21.12,35.69,4
70,Job 70,0.0,17.78,54.94,5
71,Job 71,0.0,20.2,21.82,1
72,Job 72,0.0,19.96,58.48,4
73,Job 73,0.0,20.06,51.35,0
74,Job 74,0.0,20.71,55.5,2
75,Job 75,0.0,20.78,33.25,4
76,Job 76,0.0,19.84,92.45,4
77,Job 77,0.0,20.84,72.31,4
78,Job 78,0.0,18.79,92.63,3
79,Job 79,0.0,17.04,74.46,1
80,Job 80,0.0,20.88,45.73,1
81,Job 81,0.0,21.57,78.95,1
82,Job 82,0.0,22.05,80.92,1
83,Job 83,0.0,18.91,49.17,4
84,Job 84,0.0,21.8,31.83,4
85,Job 85,0.0,21.41,65.94,0
86,Job 86,0.0,19.56,61.03,4
87,Job 87,0.0,17.92,35.66,4
88,Job 88,0.0,19.03,77.64,3
89,Job 89,0.0,16.71,17.55,1
90,Job 90,0.0,21.16,73.43,1
91,Job 91,0.0,16.04,68.81,5
92,Job 92,0.0,17.93,32.81,2
93,Job 93,0.0,25.05,112.98,0
94,Job 94,0.0,22.0,70.62,3
95,Job 95,0.0,23.53,117.18,2
96,Job 96,0.0,21.59,70.17,0
97,Job 97,0.0,21.87,78.73,4
98,Job 98,0.0,19.21,62.43,2
99,Job 99,0.0,22.08,73.53,2
